Participant ID,Wrist,Filtered EDA Mean,Filtered EDA Standard Deviation,SCL Mean,SCL Standard Deviation,SCR Mean,SCR Standard Deviation,HRV (RMSSD),HRV (SDNN),HR (bpm),TEMP Mean,TEMP Standard Deviation,TEMP Slope,TEMP Range,Stress Label
6,Right,2.880127745279961,0.28232821825856264,2.8767299328499716,0.22483371687271309,0.04642429382282755,0.11386102572691073,115.44576632492591,81.08988391860932,85.17560073937153,33.3895,0.0666939527493556,0.00047160540981614835,0.259999999999998,0.0
6,Right,2.6838430034721372,0.07649454797701676,2.697343193599085,0.04547961773322853,0.021186096432487738,0.03184028470431365,21.62036024524444,29.808246103749223,84.56354470681879,33.50033333333333,0.13341622423411922,0.0019086442472959538,0.4399999999999977,0.0
6,Right,2.6912005928427587,0.13211814084818155,2.6860786195234216,0.02967148242053055,0.04512689422396077,0.08147546464851702,33.30056905063914,36.097334318597376,84.99604743083003,33.66133333333333,0.09706469778222979,0.0013514123509088742,0.38000000000000256,0.0
6,Right,2.630985543989118,0.15843112141117446,2.6323361316133096,0.09444394466792,0.0388322432868247,0.08156991577168372,32.085957358921895,34.364912809558945,84.72813238770686,33.778,0.0651101630571862,0.0009122380596885415,0.27999999999999403,0.0
6,Right,1.815239565897208,0.2034298086131335,1.8180530093276603,0.06590552372523431,0.0451208966264609,0.14692698064261567,177.95416929783335,119.30949155161778,85.01845018450184,31.9295,0.09431198227160739,-0.0013395371447420933,0.32000000000000384,1.0
6,Right,2.1216346478843024,0.3289953877069656,2.1495996408975744,0.21581766163118724,0.06210440256226089,0.11083060439238078,127.77526364057215,99.88377492692366,81.16248348745046,32.3045,0.031855140872392954,0.000384381673292944,0.14000000000000057,1.0
6,Right,2.1399364965575964,0.39844421390207607,2.1487098651663756,0.2255118904061578,0.09033872325380488,0.17459625826886355,150.69180328841134,107.52904009583368,84.83955812730143,32.354166666666664,0.04192420409368298,0.0005157728432785194,0.14000000000000057,1.0
6,Right,2.3428948149375457,0.3186181575129782,2.3277886059098885,0.177820629749271,0.08847651416859444,0.16389829625590124,146.58577380424788,121.8249155390781,83.70015948963318,32.41833333333333,0.061918405089996076,0.0008580704526120229,0.21999999999999886,1.0
6,Right,2.3425443419900125,0.26378595989578074,2.3214351593895697,0.14795120937189485,0.08017193628368666,0.15216021641859304,121.05626078529129,99.2648760891787,81.18393234672305,32.46566666666667,0.02673117198245513,0.00019903123318113422,0.12000000000000455,1.0
6,Right,2.247034348064977,0.2443432340137862,2.2534947658404283,0.09909803818892815,0.07792655835194533,0.11827705912575313,111.44798920068051,101.6020159985458,81.98207696362678,32.50933333333334,0.04661425628376912,0.0005163978541294122,0.17999999999999972,1.0
6,Right,2.3464480719805407,0.2523047105027034,2.3399071015733597,0.12304824573675566,0.0792260088207826,0.12015636202941843,103.18132332256133,99.13701573168115,80.60876410390973,32.577666666666666,0.06571064517175923,0.0009087657771836261,0.20999999999999375,1.0
6,Right,2.465145966048768,0.2128816222087023,2.469370871091478,0.08527362986914727,0.06402860540080692,0.13547236422229136,143.5885642425956,116.73218620819223,81.98207696362678,32.245666666666665,0.0849385398718138,-0.001127241792392238,0.3399999999999963,1.0
